timestamp,total_value,cash,positions
2025-05-16 09:14:26.432196,14.999442,14.192820070298309,"{'APT21794-USD': {'qty': 0.14999436, 'avg_entry_price': 5.377681732177734}}"
2025-05-16 09:29:31.636733,14.99943,14.84943576,"{'APT21794-USD': {'qty': 0.02775534625407625, 'avg_entry_price': 5.404156684875488}}"
2025-05-16 09:47:02.349422,14.998782,14.84879424,"{'APT21794-USD': {'qty': 0.027826826726375535, 'avg_entry_price': 5.390041828155518}}"
2025-05-16 09:53:44.358473,14.998669,14.998669,{},"Ticker
APT21794-USD    9.003817
Name: 2025-01-01 00:00:00, dtype: float64"
2025-05-16 10:50:17.818374,14.998669,14.998669,{},9.003816604614258
2025-05-16 10:50:17.821770,14.978414047448952,1.4796119474489515,"{'APT21794-USD': {'qty': 1.4551674394557952, 'entry_price': 9.281097923755645}}",9.276459693908691
2025-05-16 10:50:17.823363,15.721700450618247,0.14596305279046273,"{'APT21794-USD': {'qty': 1.5912080901720778, 'entry_price': 9.32490739003583}}",9.788623809814453
2025-05-16 10:50:17.824855,16.06348432998524,0.01439918947440541,"{'APT21794-USD': {'qty': 1.6043401123789596, 'entry_price': 9.330503173556316}}",10.00354290008545
2025-05-16 10:50:17.825793,16.201631181607638,0.01439918947440541,"{'APT21794-USD': {'qty': 1.6043401123789596, 'entry_price': 9.330503173556316}}",10.089651107788086
2025-05-16 10:50:17.826811,16.32753329949651,0.01439918947440541,"{'APT21794-USD': {'qty': 1.6043401123789596, 'entry_price': 9.330503173556316}}",10.168127059936523
2025-05-16 10:50:17.828600,15.505247080355144,15.505247080355144,{},9.670088768005371
2025-05-16 10:50:17.829588,15.505247080355144,15.505247080355144,{},9.016526222229004
2025-05-16 10:50:17.830643,15.505247080355144,15.505247080355144,{},8.644949913024902
2025-05-16 10:50:17.832892,15.484308019435478,1.5295856471158498,"{'APT21794-USD': {'qty': 1.5246478812420117, 'entry_price': 9.157327344417572}}",9.152750968933105
2025-05-16 10:50:17.833997,15.433679129183512,1.5295856471158498,"{'APT21794-USD': {'qty': 1.5246478812420117, 'entry_price': 9.157327344417572}}",9.11954402923584
2025-05-16 10:50:17.835854,14.967872319628771,14.967872319628771,{},8.827262878417969
2025-05-16 10:50:17.837071,14.967872319628771,14.967872319628771,{},8.478211402893066
2025-05-16 10:50:17.838655,14.947658956454731,1.4765738687888366,"{'APT21794-USD': {'qty': 1.4940449048193902, 'entry_price': 9.021027806282042}}",9.016519546508789
2025-05-16 10:50:17.840211,15.624885302078553,0.14566334769777756,"{'APT21794-USD': {'qty': 1.634357133597119, 'entry_price': 9.060077057803431}}",9.471138000488281
2025-05-16 10:50:17.842011,15.211752325220468,15.211752325220468,{},9.23220157623291
2025-05-16 10:50:17.843559,15.191209614292873,1.5006325215944543,"{'APT21794-USD': {'qty': 1.4027441379957508, 'entry_price': 9.764733289718627}}",9.75985336303711
2025-05-16 10:50:17.845120,14.554707822908295,14.554707822908295,{},9.320074081420898
2025-05-16 10:50:17.846016,14.554707822908295,14.554707822908295,{},8.486613273620605
2025-05-16 10:50:17.846960,14.554707822908295,14.554707822908295,{},8.542523384094238
2025-05-16 10:50:17.849117,14.535052417728851,1.4358153771113855,"{'APT21794-USD': {'qty': 1.4984978065200885, 'entry_price': 8.745949845314025}}",8.741579055786133
2025-05-16 10:50:17.851128,14.133826030036943,14.133826030036943,{},8.486552238464355
2025-05-16 10:50:17.852087,14.133826030036943,14.133826030036943,{},8.340675354003906
2025-05-16 10:50:17.853006,14.133826030036943,14.133826030036943,{},8.206096649169922
2025-05-16 10:50:17.853902,14.133826030036943,14.133826030036943,{},8.09251594543457
2025-05-16 10:50:17.854778,14.133826030036943,14.133826030036943,{},7.835258960723877
2025-05-16 10:50:17.855991,14.133826030036943,14.133826030036943,{},7.624841213226318
2025-05-16 10:50:17.856943,14.133826030036943,14.133826030036943,{},7.213426113128662
2025-05-16 10:50:17.858432,14.11473900467468,1.3942955776414312,"{'APT21794-USD': {'qty': 1.713242041648848, 'entry_price': 7.428491327762603}}",7.424778938293457
2025-05-16 10:50:17.859869,14.831033157408726,0.13754663130131717,"{'APT21794-USD': {'qty': 1.8732204576546907, 'entry_price': 7.464309416703737}}",7.843970775604248
2025-05-16 10:50:17.860792,14.762872346984317,0.13754663130131717,"{'APT21794-USD': {'qty': 1.8732204576546907, 'entry_price': 7.464309416703737}}",7.807583808898926
2025-05-16 10:50:17.862187,13.361104304347391,13.361104304347391,{},7.0698652267456055
2025-05-16 10:50:17.863034,13.361104304347391,13.361104304347391,{},6.135842800140381
2025-05-16 10:50:17.864661,13.343060801039586,1.3180669271269334,"{'APT21794-USD': {'qty': 1.8478970499044454, 'entry_price': 6.510647533893585}}",6.507393836975098
2025-05-16 10:50:17.866877,12.560566357969444,12.560566357969444,{},6.093079090118408
2025-05-16 10:50:17.867798,12.560566357969444,12.560566357969444,{},5.965384006500244
2025-05-16 10:50:17.868676,12.560566357969444,12.560566357969444,{},5.726359844207764
2025-05-16 10:50:17.869522,12.560566357969444,12.560566357969444,{},5.713077068328857
2025-05-16 10:50:17.870908,12.543603941131325,1.2390942189588259,"{'APT21794-USD': {'qty': 1.9312990454712717, 'entry_price': 5.856245827674865}}",5.85331916809082
2025-05-16 10:50:17.871792,12.644573998926143,1.2390942189588259,"{'APT21794-USD': {'qty': 1.9312990454712717, 'entry_price': 5.856245827674865}}",5.905600070953369
2025-05-16 10:50:17.873426,13.182573517621819,0.12223608710788958,"{'APT21794-USD': {'qty': 2.111602755284104, 'entry_price': 5.88458427391246}}",6.185035228729248
2025-05-16 10:50:17.874962,12.529249749655566,12.529249749655566,{},5.884461879730225
2025-05-16 10:50:17.876411,12.512329624331144,1.2360048496411338,"{'APT21794-USD': {'qty': 1.8300199192709614, 'entry_price': 6.1649399650096885}}",6.161859035491943
2025-05-16 10:50:17.877297,12.464776115810698,1.2360048496411338,"{'APT21794-USD': {'qty': 1.8300199192709614, 'entry_price': 6.1649399650096885}}",6.135873794555664
2025-05-16 10:50:17.878174,12.410761717720835,1.2360048496411338,"{'APT21794-USD': {'qty': 1.8300199192709614, 'entry_price': 6.1649399650096885}}",6.106358051300049
2025-05-16 10:50:17.879778,12.221429431403804,12.221429431403804,{},6.011913776397705
2025-05-16 10:50:17.881334,12.221429431403804,12.221429431403804,{},5.8166680335998535
2025-05-16 10:50:17.883104,12.204925002028165,1.2056385137647414,"{'APT21794-USD': {'qty': 1.8592401166455021, 'entry_price': 5.918969816207885}}",5.916011810302734
2025-05-16 10:50:17.884599,11.631286648830882,11.631286648830882,{},5.615899085998535
2025-05-16 10:50:17.886313,11.615579177775968,1.1474211938281744,"{'APT21794-USD': {'qty': 1.6574729293177728, 'entry_price': 6.3188917765617365}}",6.315733909606934
2025-05-16 10:50:17.887304,11.61447348556667,1.1474211938281744,"{'APT21794-USD': {'qty': 1.6574729293177728, 'entry_price': 6.3188917765617365}}",6.315066814422607
2025-05-16 10:50:17.888781,11.051101406317295,11.051101406317295,{},5.984141826629639
2025-05-16 10:50:17.889655,11.051101406317295,11.051101406317295,{},6.029853820800781
2025-05-16 10:50:17.891161,11.036177446423135,1.09018618073757,"{'APT21794-USD': {'qty': 1.6260624158350732, 'entry_price': 6.11966930937767}}",6.116611003875732
2025-05-16 10:50:17.892562,9.862696863645324,9.862696863645324,{},5.403042793273926
2025-05-16 10:50:17.893968,9.849377784665815,0.9729506073850231,"{'APT21794-USD': {'qty': 1.576450568090503, 'entry_price': 5.633456304073333}}",5.630640983581543
2025-05-16 10:50:17.895354,10.231779601640904,0.09598113959075927,"{'APT21794-USD': {'qty': 1.72552253129598, 'entry_price': 5.654495138907958}}",5.8740458488464355
2025-05-16 10:50:17.897058,10.685331605260448,0.00946849622911558,"{'APT21794-USD': {'qty': 1.739598374101771, 'entry_price': 5.65842388046398}}",6.136970043182373
2025-05-16 10:50:17.899055,11.252024291099524,0.0009340628921789482,"{'APT21794-USD': {'qty': 1.7409169555694513, 'entry_price': 5.659035520531613}}",6.462738037109375
2025-05-16 10:50:17.900722,10.97513574146124,10.97513574146124,{},6.313157081604004
2025-05-16 10:50:17.902397,10.960314369399185,1.0826922020840684,"{'APT21794-USD': {'qty': 1.4640296787730058, 'entry_price': 6.750246338367462}}",6.746872901916504
2025-05-16 10:50:17.903873,9.46593816823721,9.46593816823721,{},5.734744071960449
2025-05-16 10:50:17.904831,9.46593816823721,9.46593816823721,{},5.459799766540527
2025-05-16 10:50:17.906223,9.453154892037915,0.9338105406244264,"{'APT21794-USD': {'qty': 1.3736234285072477, 'entry_price': 6.2051970334053035}}",6.202095985412598
2025-05-16 10:50:17.907882,9.152209135293962,9.152209135293962,{},5.991991996765137
2025-05-16 10:50:17.909280,9.139849534467205,0.9028613127026386,"{'APT21794-USD': {'qty': 1.3336373358847176, 'entry_price': 6.179421117067337}}",6.176332950592041
2025-05-16 10:50:17.910674,8.824681484250746,8.824681484250746,{},5.9489312171936035
2025-05-16 10:50:17.911525,8.824681484250746,8.824681484250746,{},5.597623825073242
2025-05-16 10:50:17.912527,8.824681484250746,8.824681484250746,{},5.202567100524902
2025-05-16 10:50:17.914327,8.81276419314034,0.8705508573146679,"{'APT21794-USD': {'qty': 1.4997067924872058, 'entry_price': 5.298492000102996}}",5.295844078063965
2025-05-16 10:50:17.916746,8.670236274984067,8.670236274984067,{},5.208617210388184
2025-05-16 10:50:17.919073,8.670236274984067,8.670236274984067,{},5.148114204406738
2025-05-16 10:50:17.924200,8.658527554406515,0.8553149069208548,"{'APT21794-USD': {'qty': 1.4983147254066966, 'entry_price': 5.210597027063369}}",5.207993030548096
2025-05-16 10:50:17.926965,8.869944152794327,0.08437643067603429,"{'APT21794-USD': {'qty': 1.6422030567159616, 'entry_price': 5.223034098413463}}",5.34986686706543
2025-05-16 10:50:17.928804,8.52397858829259,8.52397858829259,{},5.146913051605225
2025-05-16 10:50:17.931677,8.51246738140803,0.8408866519446994,"{'APT21794-USD': {'qty': 1.4342105792359416, 'entry_price': 5.351666366815567}}",5.348991870880127
2025-05-16 10:50:17.935154,8.634219767031968,0.08295308981535132,"{'APT21794-USD': {'qty': 1.5734641604671076, 'entry_price': 5.359253243536426}}",5.434675216674805
2025-05-16 10:50:17.937076,8.908237553325685,0.008183284981394007,"{'APT21794-USD': {'qty': 1.5867747627282367, 'entry_price': 5.36137088585201}}",5.608895778656006
2025-05-16 10:50:17.938333,8.933856395780222,0.008183284981394007,"{'APT21794-USD': {'qty': 1.5867747627282367, 'entry_price': 5.36137088585201}}",5.6250410079956055
2025-05-16 10:50:17.939314,8.920284666635622,0.008183284981394007,"{'APT21794-USD': {'qty': 1.5867747627282367, 'entry_price': 5.36137088585201}}",5.616487979888916
2025-05-16 10:50:17.940853,9.017597070091785,0.0008072773809362777,"{'APT21794-USD': {'qty': 1.588071907361624, 'entry_price': 5.361631683544731}}",5.677822113037109
2025-05-16 10:50:17.941762,9.071601231995835,0.0008072773809362777,"{'APT21794-USD': {'qty': 1.588071907361624, 'entry_price': 5.361631683544731}}",5.711828231811523
2025-05-16 10:50:17.943270,9.566396729304408,7.963755035454234e-05,"{'APT21794-USD': {'qty': 1.5881925285686496, 'entry_price': 5.361682172657938}}",6.0233988761901855
2025-05-16 10:50:17.945012,9.385485134999799,9.385485134999799,{},5.918363094329834
2025-05-16 10:50:17.945960,9.385485134999799,9.385485134999799,{},5.946588039398193
2025-05-16 10:50:17.947674,9.385485134999799,9.385485134999799,{},5.961942195892334
2025-05-16 10:50:17.949537,9.385485134999799,9.385485134999799,{},5.54929780960083
2025-05-16 10:50:17.950540,9.385485134999799,9.385485134999799,{},5.2270989418029785
2025-05-16 10:50:17.952042,9.372810506599238,0.9258738850994188,"{'APT21794-USD': {'qty': 1.596409491455534, 'entry_price': 5.293854825496673}}",5.2912092208862305
2025-05-16 10:50:17.952933,9.340338830880444,0.9258738850994188,"{'APT21794-USD': {'qty': 1.596409491455534, 'entry_price': 5.293854825496673}}",5.27086877822876
2025-05-16 10:50:17.954334,9.552063915510159,0.09133704212180938,"{'APT21794-USD': {'qty': 1.7505996584295715, 'entry_price': 5.303818714312791}}",5.404277801513672
2025-05-16 10:50:17.955715,9.024990455637713,9.024990455637713,{},5.1108598709106445
2025-05-16 10:50:17.956563,9.024990455637713,9.024990455637713,{},5.052180767059326
2025-05-16 10:50:17.957516,9.024990455637713,9.024990455637713,{},4.905011177062988
2025-05-16 10:50:17.958555,9.024990455637713,9.024990455637713,{},4.881896018981934
2025-05-16 10:50:17.959555,9.024990455637713,9.024990455637713,{},4.341456890106201
2025-05-16 10:50:17.961052,9.012802657276897,0.8903112472029537,"{'APT21794-USD': {'qty': 1.8408730561059254, 'entry_price': 4.414510076522827}}",4.412303924560547
2025-05-16 10:50:17.962475,8.886373758586249,8.886373758586249,{},4.3501482009887695
2025-05-16 10:50:17.964185,8.874373155143964,0.8766367724163402,"{'APT21794-USD': {'qty': 1.689691292450771, 'entry_price': 4.735619628667831}}",4.733253002166748
2025-05-16 10:50:17.966282,8.664554942724594,8.664554942724594,{},4.615999221801758
2025-05-16 10:50:17.967881,8.652853894502194,0.854754446050058,"{'APT21794-USD': {'qty': 1.6273291001946362, 'entry_price': 4.794358127832412}}",4.791962146759033
2025-05-16 10:50:17.969406,8.931178732610087,0.08432114146333736,"{'APT21794-USD': {'qty': 1.7823099637440476, 'entry_price': 4.809299343822266}}",4.963703155517578
2025-05-16 10:50:17.970828,8.671753480727133,8.671753480727133,{},4.825383186340332
2025-05-16 10:50:17.971696,8.671753480727133,8.671753480727133,{},4.804977893829346
2025-05-16 10:50:17.972707,8.671753480727133,8.671753480727133,{},4.623103141784668
2025-05-16 10:50:17.973756,8.671753480727133,8.671753480727133,{},4.620401859283447
2025-05-16 10:50:17.974713,8.671753480727133,8.671753480727133,{},4.592405796051025
2025-05-16 10:50:17.976184,8.660042711239086,0.855464578584666,"{'APT21794-USD': {'qty': 1.6623158874068336, 'entry_price': 4.697350534200668}}",4.695003032684326
2025-05-16 10:50:17.977617,9.026962667702291,0.08439119571831688,"{'APT21794-USD': {'qty': 1.818917063191269, 'entry_price': 4.716423675995394}}",4.916426181793213
2025-05-16 10:50:17.979036,9.309051834130614,0.00832515348157388,"{'APT21794-USD': {'qty': 1.8338930960170698, 'entry_price': 4.719344640365727}}",5.071575164794922
2025-05-16 10:50:17.980600,9.023282855483856,9.023282855483856,{},4.923130989074707
2025-05-16 10:50:17.983282,9.011097363151668,0.8901427932161976,"{'APT21794-USD': {'qty': 1.5402082762943854, 'entry_price': 5.275270346403122}}",5.272634029388428
2025-05-16 10:50:17.984837,9.138627372728248,0.08781218598652096,"{'APT21794-USD': {'qty': 1.6897781710562192, 'entry_price': 5.282672174533006}}",5.356215000152588
2025-05-16 10:50:17.986277,9.37995953841855,0.008662632632086609,"{'APT21794-USD': {'qty': 1.7041497790595617, 'entry_price': 5.284520597252485}}",5.499104022979736
2025-05-16 10:50:17.987155,9.455514453993187,0.008662632632086609,"{'APT21794-USD': {'qty': 1.7041497790595617, 'entry_price': 5.284520597252485}}",5.543439865112305
2025-05-16 10:50:17.988571,9.593609330481556,0.0008545648109706599,"{'APT21794-USD': {'qty': 1.7055359281264753, 'entry_price': 5.284799180805467}}",5.624481201171875
2025-05-16 10:50:17.990040,9.158006705468765,9.158006705468765,{},5.377139091491699
2025-05-16 10:50:17.991424,9.145639275313364,0.9034332403914753,"{'APT21794-USD': {'qty': 1.4897984753040492, 'entry_price': 5.535196387052536}}",5.532430171966553
2025-05-16 10:50:17.992803,8.989299669204453,8.989299669204453,{},5.435640811920166
2025-05-16 10:50:17.993659,8.989299669204453,8.989299669204453,{},5.3475728034973145
2025-05-16 10:50:17.995018,8.977160069466176,0.8867903671821686,"{'APT21794-USD': {'qty': 1.4684073716537918, 'entry_price': 5.512376908063888}}",5.509622097015381
2025-05-16 10:50:17.996759,8.867766125223977,8.867766125223977,{},5.443285942077637
2025-05-16 10:50:17.997919,8.867766125223977,8.867766125223977,{},5.187997817993164
2025-05-16 10:50:17.999164,8.867766125223977,8.867766125223977,{},5.1008758544921875
2025-05-16 10:50:18.000116,8.867766125223977,8.867766125223977,{},4.972969055175781
2025-05-16 10:50:18.001263,8.867766125223977,8.867766125223977,{},4.760152816772461
2025-05-16 10:50:18.002278,8.867766125223977,8.867766125223977,{},4.791490077972412
2025-05-16 10:50:18.003804,8.855790650460168,0.87480113775859,"{'APT21794-USD': {'qty': 1.4559008834161526, 'entry_price': 5.484562924861907}}",5.4818220138549805
2025-05-16 10:50:18.005260,8.97757434597629,0.08629873857937309,"{'APT21794-USD': {'qty': 1.5973455771826433, 'entry_price': 5.492045564382945}}",5.566281795501709
2025-05-16 10:50:18.006723,9.788002039124734,0.008513331726422796,"{'APT21794-USD': {'qty': 1.6101332829491266, 'entry_price': 5.4966893019539445}}",6.073713779449463
2025-05-16 10:50:18.008389,9.460706183567538,9.460706183567538,{},5.8792572021484375
2025-05-16 10:50:18.009402,9.460706183567538,9.460706183567538,{},5.84960412979126
2025-05-16 10:50:18.010891,9.44792997290194,0.9332944076911556,"{'APT21794-USD': {'qty': 1.3847853943272437, 'entry_price': 6.151778403997421}}",6.1487040519714355
